,Act,Scene,Line,Player,PlayerLine,PlayerPercent
0,1,0,1,RICHMOND,1,0.013657470636438131
1,1,1,1,SAMPSON,404,5.517618137121005
2,1,1,2,GREGORY,255,3.4826550122917235
26,1,1,26,ABRAHAM,161,2.198852772466539
41,1,1,41,BENVOLIO,1900,25.949194209232452
42,1,1,42,TYBALT,206,2.813438951106255
45,1,1,45,FIRST CITIZEN,45,0.6145861786397159
46,1,1,46,CAPULET,272,3.7148320131111716
47,1,1,47,LADY CAPULET,216,2.9500136574706364
49,1,1,49,MONTAGUE,337,4.60256760447965
50,1,1,50,LADY MONTAGUE,104,1.4203769461895657
51,1,1,51,PRINCE,51,0.6965310024583447
64,1,1,64,ROMEO,1935,26.427205681507786
97,1,2,2,PARIS,6,0.08194482381862879
101,1,2,6,SERVANT,179,2.4446872439224254
126,1,3,2,NURSE,542,7.402349084949468
127,1,3,3,JULIET,508,6.937995083310571
157,1,4,4,MERCUTIO,161,2.198852772466539
182,1,5,1,FIRST SERVANT,9,0.12291723572794319
183,1,5,2,SECOND SERVANT,12,0.16388964763725758
189,1,5,8,SECOND CAPULET,18,0.24583447145588638
236,2,0,1,CHORUS,1,0.015875535799333228
237,2,1,1,ROMEO,2222,35.27544054611843
238,2,1,2,BENVOLIO,276,4.38164788061597
239,2,1,3,MERCUTIO,964,15.304016510557231
248,2,2,2,JULIET,874,13.87521828861724
281,2,2,35,NURSE,1634,25.940625496110492
302,2,3,1,FRIAR LAURENCE,118,1.8733132243213209
368,2,4,48,PETER,210,3.333862517859978
441,3,1,1,BENVOLIO,410,7.840887358959649
442,3,1,2,MERCUTIO,332,6.349206349206349
451,3,1,11,TYBALT,200,3.8248231019315355
462,3,1,22,ROMEO,766,14.649072480397782
489,3,1,49,FIRST CITIZEN,100,1.9124115509657678
492,3,1,52,PRINCE,225,4.3029259896729775
494,3,1,54,LADY CAPULET,679,12.985274431057563
499,3,1,59,MONTAGUE,59,1.128322815069803
501,3,2,1,JULIET,1032,19.736087205966722
502,3,2,2,NURSE,758,14.49607955632052
524,3,3,1,FRIAR LAURENCE,238,4.551539491298527
562,3,4,1,CAPULET,416,7.955632052017594
563,3,4,2,PARIS,14,0.2677376171352075
638,4,1,1,FRIAR LAURENCE,216,10.85972850678733
639,4,1,2,PARIS,175,8.798391151332329
644,4,1,7,JULIET,308,15.485168426344897
671,4,2,1,CAPULET,205,10.306686777275011
672,4,2,2,SECOND SERVANT,16,0.8044243338360985
676,4,2,6,NURSE,91,4.57516339869281
685,4,2,15,LADY CAPULET,78,3.9215686274509802
687,4,2,17,LADY  CAPULET,17,0.8547008547008548
701,4,4,8,FIRST SERVANT,8,0.40221216691804923
728,4,5,24,FIRST MUSICIAN,295,14.831573655103067
731,4,5,27,PETER,364,18.30065359477124
743,4,5,39,SECOND MUSICIAN,130,6.535947712418301
745,4,5,41,MUSICIAN,41,2.0613373554550023
749,4,5,45,THIRD MUSICIAN,45,2.262443438914027
753,5,1,1,ROMEO,119,5.171664493698392
754,5,1,2,BALTHASAR,214,9.300304215558452
760,5,1,8,APOTHECARY,44,1.912212081703607
768,5,2,1,FRIAR JOHN,16,0.6953498478922208
769,5,2,2,FRIAR LAURENCE,314,13.646240764884832
776,5,3,1,PARIS,38,1.6514558887440245
777,5,3,2,PAGE,109,4.737070838765754
804,5,3,29,JULIET,93,4.041720990873533
807,5,3,32,FIRST WATCHMAN,233,10.126032159930464
811,5,3,36,SECOND WATCHMAN,36,1.564537157757497
813,5,3,38,THIRD WATCHMAN,38,1.6514558887440245
815,5,3,40,PRINCE,578,25.119513255106472
816,5,3,41,CAPULET,214,9.300304215558452
817,5,3,42,LADY CAPULET,90,3.911342894393742
825,5,3,50,MONTAGUE,165,7.170795306388526
